X,Y,result
82,45,127
63,19,82
15,65,80
46,3,49
1,81,82
73,13,86
38,37,75
33,58,91
59,59,118
76,4,80
45,90,135
25,46,71
35,63,98
6,72,78
65,35,100
66,24,90
15,71,86
3,96,99
57,42,99
6,30,36
74,75,149
88,3,91
70,96,166
16,60,76
65,44,109
88,16,104
74,83,157
78,20,98
88,33,121
1,71,72
11,34,45
65,58,123
9,2,11
87,11,98
24,16,40
86,91,177
30,11,41
55,45,100
41,44,85
24,89,113
62,57,119
65,1,66
40,13,53
43,17,60
9,98,107
44,47,91
94,73,167
10,51,61
22,80,102
96,89,185
79,25,104
49,89,138
51,70,121
9,77,86
65,11,76
86,21,107
29,28,57
66,4,70
46,69,115
69,71,140
34,75,109
88,96,184
77,20,97
32,57,89
38,73,111
4,16,20
73,34,107
71,53,124
26,56,82
12,67,79
40,89,129
38,21,59
85,94,179
28,89,117
58,83,141
63,22,85
22,36,58
48,51,99
80,84,164
68,68,136
55,38,93
17,11,28
62,1,63
41,99,140
37,21,58
88,16,104
14,90,104
60,78,138
33,54,87
79,56,135
88,88,176
54,9,63
41,93,134
5,65,70
18,32,50
27,88,115
37,66,103
2,15,17
2,53,55
80,74,154
18,87,105
72,81,153
56,59,115
51,9,60
49,25,74
71,48,119
96,68,164
65,23,88
19,30,49
93,26,119
90,72,162
53,12,65
86,47,133
24,92,116
13,12,25
74,75,149
84,73,157
30,10,40
22,41,63
78,75,153
20,28,48
28,77,105
49,38,87
63,84,147
4,53,57
91,86,177
81,29,110
32,53,85
95,31,126
33,75,108
84,96,180
16,55,71
69,79,148
16,29,45
70,92,162
84,68,152
1,65,66
32,95,127
42,42,84
67,24,91
97,9,106
12,15,27
67,15,82
42,61,103
27,31,58
6,94,100
70,94,164
17,1,18
96,35,131
34,71,105
18,32,50
33,79,112
10,50,60
41,81,122
73,29,102
59,76,135
89,4,93
37,42,79
51,54,105
30,19,49
8,6,14
83,35,118
11,37,48
62,55,117
64,17,81
81,35,116
44,27,71
29,19,48
5,12,17
74,75,149
61,63,124
60,5,65
70,12,82
7,25,32
10,61,71
89,92,181
64,94,158
22,9,31
51,37,88
91,83,174
82,18,100
40,33,73
62,8,70
34,96,130
85,98,183
97,30,127
91,68,159
17,15,32
17,35,52
27,96,123
64,93,157
88,83,171
88,21,109
61,65,126
69,51,120
70,13,83
91,84,175
75,12,87
61,12,73
34,64,98
31,78,109
54,47,101
69,71,140
10,87,97
52,81,133
95,12,107
94,70,164
99,48,147
80,76,156
54,37,91
93,2,95
41,63,104
86,3,89
49,17,66
83,15,98
94,53,147
77,34,111
9,18,27
2,66,68
97,94,191
39,92,131
12,93,105
74,9,83
64,22,86
15,35,50
41,46,87
74,21,95
80,30,110
57,56,113
13,87,100
5,61,66
59,53,112
63,33,96
55,62,117
59,99,158
58,33,91
36,90,126
45,47,92
55,72,127
99,42,141
14,3,17
2,5,7
16,25,41
32,65,97
95,17,112
50,31,81
32,97,129
50,49,99
73,69,142
57,39,96
29,70,99
15,67,82
97,16,113
45,65,110
2,31,33
