X,Y,Z,A11,A21,A31,A12,A22,A32,A13,A23,A33,ResVort,ResStrain,Shear
5.4726250000000E+00,5.3299550000000E-01,-1.5355325000000E-01,-2.8554300000000E-03,-9.2443700000000E-02,-2.1645500000000E-01,9.0874200000000E-01,-7.5678400000000E-02,4.6102400000000E-01,7.8956700000000E-01,-4.2687700000000E-01,7.6991800000000E-02,4.7075289487840E-01,3.3141069114210E-02,1.2993654012680E+00
5.4057350000000E+00,5.1105025000000E-01,-1.4723100000000E-01,-2.7534000000000E-02,-7.5137400000000E-02,-2.2439200000000E-01,7.8625400000000E-01,-8.5066600000000E-02,4.9424100000000E-01,7.1286500000000E-01,-4.2962900000000E-01,1.0952800000000E-01,4.8542624711990E-01,3.6489211022850E-02,1.1807816028590E+00
5.4726250000000E+00,5.1105025000000E-01,-1.4723100000000E-01,1.3279300000000E-02,-8.4935700000000E-02,-2.2905500000000E-01,7.4909900000000E-01,-1.1173400000000E-01,5.3231300000000E-01,7.6312500000000E-01,-4.4284300000000E-01,9.6960100000000E-02,5.2321010828020E-01,1.1992872692640E-02,1.1961712837220E+00
5.4057350000000E+00,4.9015000000000E-01,-1.4120975000000E-01,-1.0416400000000E-02,-6.8063200000000E-02,-2.3858500000000E-01,6.3898800000000E-01,-1.1912500000000E-01,5.6035900000000E-01,6.8066400000000E-01,-4.4409200000000E-01,1.2667500000000E-01,5.3927308321000E-01,9.9308229982850E-03,1.0880331993100E+00
5.4726250000000E+00,4.9015000000000E-01,-1.4120975000000E-01,2.7216300000000E-02,-7.8471400000000E-02,-2.3822200000000E-01,6.0618800000000E-01,-1.4286800000000E-01,5.8913100000000E-01,7.3045200000000E-01,-4.5603500000000E-01,1.1428800000000E-01,5.6982427835460E-01,4.8362988978620E-02,1.1073164939880E+00
5.4057350000000E+00,4.7024550000000E-01,-1.3547525000000E-01,4.5223500000000E-03,-6.2195900000000E-02,-2.4923100000000E-01,5.1105900000000E-01,-1.4821100000000E-01,6.1323700000000E-01,6.4580000000000E-01,-4.5605600000000E-01,1.4106600000000E-01,5.8453911542890E-01,4.1451692581180E-02,1.0132879018780E+00
5.4726250000000E+00,4.7024550000000E-01,-1.3547525000000E-01,3.9135100000000E-02,-7.2867500000000E-02,-2.4445300000000E-01,4.8276400000000E-01,-1.6935500000000E-01,6.3346300000000E-01,6.9544900000000E-01,-4.6641400000000E-01,1.2901900000000E-01,6.0661107301710E-01,7.8325286507610E-02,1.0360219478610E+00
5.4057350000000E+00,4.5128850000000E-01,-1.3001375000000E-01,1.7431600000000E-02,-5.7300200000000E-02,-2.5683300000000E-01,4.0296900000000E-01,-1.7264100000000E-01,6.5482000000000E-01,6.1118900000000E-01,-4.6557300000000E-01,1.5299100000000E-01,6.1781722307210E-01,6.0070231556890E-02,9.5861274003980E-01
5.4726250000000E+00,4.5128850000000E-01,-1.3001375000000E-01,4.9289900000000E-02,-6.7931600000000E-02,-2.4817000000000E-01,3.7877900000000E-01,-1.9165200000000E-01,6.6711200000000E-01,6.6085100000000E-01,-4.7417700000000E-01,1.4147300000000E-01,6.3001531362530E-01,9.5752201974390E-02,9.8456573486330E-01
5.4057350000000E+00,4.3323400000000E-01,-1.2481252500000E-01,2.8599200000000E-02,-5.3138400000000E-02,-2.6181500000000E-01,3.1374700000000E-01,-1.9338100000000E-01,6.8697200000000E-01,5.7849100000000E-01,-4.7266600000000E-01,1.6272000000000E-01,6.3647687435150E-01,6.4855687320230E-02,9.2476284503940E-01
5.4726250000000E+00,4.3323400000000E-01,-1.2481252500000E-01,5.7990700000000E-02,-6.3500300000000E-02,-2.4971500000000E-01,2.9319700000000E-01,-2.1070700000000E-01,6.9182500000000E-01,6.2815400000000E-01,-4.7946800000000E-01,1.5190700000000E-01,6.3761770725250E-01,1.3430913677440E-03,9.5902097225190E-01
5.4057350000000E+00,4.1603950000000E-01,-1.1985910000000E-01,3.8271800000000E-02,-4.9506700000000E-02,-2.6452900000000E-01,2.4110800000000E-01,-2.0992200000000E-01,7.1067000000000E-01,5.4875700000000E-01,-4.7785600000000E-01,1.7068600000000E-01,6.4137428998950E-01,1.7759505426510E-03,9.1016131639480E-01
5.4726250000000E+00,4.1603950000000E-01,-1.1985910000000E-01,6.5458200000000E-02,-5.9442000000000E-02,-2.4936600000000E-01,2.2365800000000E-01,-2.2604700000000E-01,7.0847800000000E-01,5.9827500000000E-01,-4.8285100000000E-01,1.6071900000000E-01,6.3070660829540E-01,3.0675844755020E-03,9.4454813003540E-01
5.4057350000000E+00,3.9966400000000E-01,-1.1514127500000E-01,4.6516700000000E-02,-4.6322600000000E-02,-2.6527800000000E-01,1.8346800000000E-01,-2.2742700000000E-01,7.2842000000000E-01,5.2223500000000E-01,-4.8013200000000E-01,1.7680300000000E-01,6.3508623838420E-01,2.7268009725960E-03,9.0655100345610E-01
5.4726250000000E+00,3.9966400000000E-01,-1.1514127500000E-01,7.1711000000000E-02,-5.5757700000000E-02,-2.4742800000000E-01,1.6890500000000E-01,-2.4237700000000E-01,7.1950700000000E-01,5.7140300000000E-01,-4.8347500000000E-01,1.6779000000000E-01,6.1874032020570E-01,3.1010378152130E-03,9.3807864189150E-01
5.4726250000000E+00,6.0793875000000E-01,-2.5181650000000E-01,-1.2767200000000E-01,-1.0395600000000E-01,-1.3038900000000E-01,1.4410500000000E+00,-3.2222600000000E-03,2.3375400000000E-01,6.0312700000000E-01,-3.6383400000000E-01,1.2780700000000E-01,2.6345047354700E-01,3.3633953426030E-03,1.6181591749190E+00
5.4726250000000E+00,5.8229250000000E-01,-2.4119350000000E-01,-1.0245900000000E-01,-9.2985500000000E-02,-1.5877200000000E-01,1.2211200000000E+00,-4.1078300000000E-02,3.5417600000000E-01,6.2572800000000E-01,-3.8070100000000E-01,1.4015600000000E-01,3.2203045487400E-01,2.1810112521050E-03,1.4543104171750E+00
5.4726250000000E+00,5.5786750000000E-01,-2.3107625000000E-01,-7.7649900000000E-02,-8.3345100000000E-02,-1.8174400000000E-01,9.9543400000000E-01,-7.8260100000000E-02,4.5382200000000E-01,6.2605800000000E-01,-3.9643700000000E-01,1.5239600000000E-01,3.8707223534580E-01,2.9850765131410E-03,1.2928558588030E+00
5.4726250000000E+00,5.3460550000000E-01,-2.2144075000000E-01,-5.5299700000000E-02,-7.5512500000000E-02,-1.9980000000000E-01,7.8622000000000E-01,-1.1147500000000E-01,5.3310900000000E-01,6.1103900000000E-01,-4.1067300000000E-01,1.6328700000000E-01,4.5020711421970E-01,4.7186344861980E-02,1.1520524024960E+00
5.4057350000000E+00,5.1245125000000E-01,-2.1226425000000E-01,-7.9660600000000E-02,-5.0847800000000E-02,-2.1195600000000E-01,6.4649400000000E-01,-1.1038500000000E-01,5.5534900000000E-01,5.3710100000000E-01,-3.9512900000000E-01,1.8538500000000E-01,4.4510141015050E-01,3.8757503032680E-02,1.0352599620820E+00
5.4726250000000E+00,5.1245125000000E-01,-2.1226425000000E-01,-3.6006900000000E-02,-6.9423100000000E-02,-2.1369700000000E-01,6.0472200000000E-01,-1.3957500000000E-01,5.9479100000000E-01,5.8705000000000E-01,-4.2305000000000E-01,1.7224400000000E-01,5.0506001710890E-01,9.0027973055840E-03,1.0434696674350E+00
5.4057350000000E+00,4.9135225000000E-01,-2.0352475000000E-01,-5.8454200000000E-02,-4.5552400000000E-02,-2.2715900000000E-01,4.8933200000000E-01,-1.3779700000000E-01,6.1156600000000E-01,5.1077900000000E-01,-4.0638900000000E-01,1.9200700000000E-01,4.9833619594570E-01,1.2314666993920E-02,9.5076978206630E-01
5.4726250000000E+00,4.9135225000000E-01,-2.0352475000000E-01,-1.9618000000000E-02,-6.4751000000000E-02,-2.2413000000000E-01,4.5360700000000E-01,-1.6261000000000E-01,6.4190400000000E-01,5.5932000000000E-01,-4.3335700000000E-01,1.7922200000000E-01,5.5161219835280E-01,5.0506822764870E-02,9.6176123619080E-01
5.4057350000000E+00,4.7125775000000E-01,-1.9520125000000E-01,-4.0402200000000E-02,-4.1823700000000E-02,-2.3872900000000E-01,3.6193500000000E-01,-1.6015900000000E-01,6.5522600000000E-01,4.8330000000000E-01,-4.1599800000000E-01,1.9673200000000E-01,5.4040241241460E-01,4.4692963361740E-02,8.9311063289640E-01
5.4726250000000E+00,4.7125775000000E-01,-1.9520125000000E-01,-5.6734900000000E-03,-6.1112600000000E-02,-2.3166000000000E-01,3.3172900000000E-01,-1.8137600000000E-01,6.7736000000000E-01,5.3117900000000E-01,-4.4150900000000E-01,1.8434700000000E-01,5.8707469701770E-01,3.0374354682860E-03,9.0862005949020E-01
5.4057350000000E+00,4.5212025000000E-01,-1.8727425000000E-01,-2.5033600000000E-02,-3.9223000000000E-02,-2.4724000000000E-01,2.6105500000000E-01,-1.7818900000000E-01,6.8864800000000E-01,4.5715800000000E-01,-4.2389000000000E-01,1.9987700000000E-01,5.6621313095090E-01,3.2892297022040E-03,8.6339372396470E-01
5.4726250000000E+00,4.5212025000000E-01,-1.8727425000000E-01,6.3611900000000E-03,-5.8157500000000E-02,-2.3670900000000E-01,2.3545700000000E-01,-1.9664700000000E-01,7.0326900000000E-01,5.0481300000000E-01,-4.4760500000000E-01,1.8798600000000E-01,5.9382110834120E-01,1.5982132172210E-03,8.8659477233890E-01
5.4057350000000E+00,4.3389400000000E-01,-1.7972475000000E-01,-1.1817900000000E-02,-3.7363400000000E-02,-2.5315100000000E-01,1.8250200000000E-01,-1.9269700000000E-01,7.1368900000000E-01,4.3364000000000E-01,-4.3006100000000E-01,2.0169100000000E-01,5.7537746429440E-01,3.0201137997210E-03,8.5324043035510E-01
5.4726250000000E+00,4.3389400000000E-01,-1.7972475000000E-01,1.6882200000000E-02,-5.5619200000000E-02,-2.3959100000000E-01,1.6068800000000E-01,-2.0917000000000E-01,7.2123400000000E-01,4.8127800000000E-01,-4.5178700000000E-01,1.9043700000000E-01,5.9654891490940E-01,2.1834485232830E-03,8.7559378147130E-01
5.4057350000000E+00,4.1653550000000E-01,-1.7253475000000E-01,-3.0273600000000E-04,-3.5941700000000E-02,-2.5680400000000E-01,1.2240200000000E-01,-2.0471600000000E-01,7.3175100000000E-01,4.1327600000000E-01,-4.3449200000000E-01,2.0242900000000E-01,5.8063542842860E-01,2.2769302595410E-03,8.5029745101930E-01
5.4726250000000E+00,4.1653550000000E-01,-1.7253475000000E-01,2.6199700000000E-02,-5.3311100000000E-02,-2.4055900000000E-01,1.0361400000000E-01,-2.1980200000000E-01,7.3253400000000E-01,4.6097100000000E-01,-4.5415800000000E-01,1.9194300000000E-01,5.9558361768720E-01,2.3815843742340E-03,8.7058734893800E-01
5.4057350000000E+00,4.0000375000000E-01,-1.6568700000000E-01,9.8221000000000E-03,-3.4736200000000E-02,-2.5848100000000E-01,7.6995000000000E-02,-2.1388700000000E-01,7.4336500000000E-01,3.9616100000000E-01,-4.3768500000000E-01,2.0254000000000E-01,5.7961511611940E-01,2.3054189980030E-02,8.5172289609910E-01
5.4726250000000E+00,4.0000375000000E-01,-1.6568700000000E-01,3.4493200000000E-02,-5.1113800000000E-02,-2.3982300000000E-01,6.0677100000000E-02,-2.2810800000000E-01,7.3764300000000E-01,4.4392400000000E-01,-4.5526600000000E-01,1.9292800000000E-01,5.8735102415080E-01,2.0183956250550E-02,8.7024015188220E-01
5.4057350000000E+00,3.8425925000000E-01,-1.5916525000000E-01,1.8653800000000E-02,-3.3651100000000E-02,-2.5843600000000E-01,4.3341900000000E-02,-2.2420700000000E-01,7.5113000000000E-01,3.8225900000000E-01,-4.3848800000000E-01,2.0139300000000E-01,5.7272684574130E-01,8.8536301627760E-03,8.5759639739990E-01
5.4726250000000E+00,3.8425925000000E-01,-1.5916525000000E-01,4.1721500000000E-02,-4.9022300000000E-02,-2.3763400000000E-01,2.9393400000000E-02,-2.3761300000000E-01,7.3908700000000E-01,4.2991700000000E-01,-4.5414600000000E-01,1.9274200000000E-01,5.7527828216550E-01,3.5745832137760E-03,8.7261456251140E-01
5.4726250000000E+00,5.7592150000000E-01,-3.1830050000000E-01,-1.6312600000000E-01,-5.7047400000000E-02,-1.4531700000000E-01,1.0883800000000E+00,-5.7269300000000E-02,4.3567200000000E-01,3.9772400000000E-01,-3.0996100000000E-01,2.1489100000000E-01,2.3535165190700E-01,7.6275807805360E-03,1.2936893701550E+00
5.4726250000000E+00,5.5162600000000E-01,-3.0487300000000E-01,-1.3046800000000E-01,-4.7405400000000E-02,-1.6954700000000E-01,8.1780800000000E-01,-8.9344400000000E-02,5.2280200000000E-01,4.1442800000000E-01,-3.2128100000000E-01,2.1449500000000E-01,3.0351874232290E-01,4.5721251517530E-03,1.1076846122740E+00
5.4726250000000E+00,5.2848725000000E-01,-2.9208475000000E-01,-1.0259400000000E-01,-4.0730300000000E-02,-1.8825200000000E-01,5.8821800000000E-01,-1.1676800000000E-01,5.8832600000000E-01,4.1432400000000E-01,-3.3257900000000E-01,2.1441200000000E-01,3.6891788244250E-01,3.5631256178020E-03,9.7237777709960E-01
5.4057350000000E+00,5.0645025000000E-01,-2.7990525000000E-01,-1.2127000000000E-01,-1.2024200000000E-02,-2.0641500000000E-01,4.5643500000000E-01,-1.0785600000000E-01,5.9673600000000E-01,3.6224100000000E-01,-3.0771300000000E-01,2.2377700000000E-01,3.4631469845770E-01,3.4906673245130E-03,8.8856840133670E-01
5.4726250000000E+00,5.0645025000000E-01,-2.7990525000000E-01,-7.9679300000000E-02,-3.6648600000000E-02,-2.0251300000000E-01,4.0466600000000E-01,-1.3867400000000E-01,6.3680500000000E-01,4.0415400000000E-01,-3.4346300000000E-01,2.1387300000000E-01,4.2470720410350E-01,3.9524037390950E-02,8.8448834419250E-01
5.4057350000000E+00,4.8546275000000E-01,-2.6830600000000E-01,-9.6019600000000E-02,-8.9120200000000E-03,-2.2153600000000E-01,3.0622200000000E-01,-1.3062200000000E-01,6.4142600000000E-01,3.4994200000000E-01,-3.1753100000000E-01,2.2193400000000E-01,4.0132862329480E-01,4.2245951481160E-03,8.3192318677900E-01
5.4726250000000E+00,4.8546275000000E-01,-2.6830600000000E-01,-6.0909700000000E-02,-3.4515600000000E-02,-2.1325200000000E-01,2.6371100000000E-01,-1.5559500000000E-01,6.7226300000000E-01,3.8922800000000E-01,-3.5347900000000E-01,2.1257500000000E-01,4.6385437250140E-01,3.2641610596330E-03,8.3817118406300E-01
5.4057350000000E+00,4.6547500000000E-01,-2.5725900000000E-01,-7.5470900000000E-02,-7.8427300000000E-03,-2.3292300000000E-01,1.9334400000000E-01,-1.4817200000000E-01,6.7511100000000E-01,3.3512300000000E-01,-3.2691200000000E-01,2.1948100000000E-01,4.3026131391530E-01,2.6692063547670E-03,8.1076574325560E-01
5.4726250000000E+00,4.6547500000000E-01,-2.5725900000000E-01,-4.5316900000000E-02,-3.3672800000000E-02,-2.2113800000000E-01,1.5855100000000E-01,-1.6859700000000E-01,6.9788000000000E-01,3.7321300000000E-01,-3.6229000000000E-01,2.1045600000000E-01,4.8224934935570E-01,2.4369803722950E-03,8.2155501842500E-01
5.4057350000000E+00,4.4643900000000E-01,-2.4673800000000E-01,-5.8521500000000E-02,-8.1189300000000E-03,-2.4128700000000E-01,1.1056900000000E-01,-1.6152800000000E-01,7.0016000000000E-01,3.2043900000000E-01,-3.3551000000000E-01,2.1646300000000E-01,4.4850346446040E-01,2.1823022980240E-03,8.0696666240690E-01
5.4726250000000E+00,4.4643900000000E-01,-2.4673800000000E-01,-3.2026500000000E-02,-3.3576000000000E-02,-2.2662900000000E-01,8.1724500000000E-02,-1.7864400000000E-01,7.1563400000000E-01,3.5834400000000E-01,-3.6974600000000E-01,2.0771900000000E-01,4.9632328748700E-01,3.3668850082900E-03,8.1618618965150E-01
5.4057350000000E+00,4.2830925000000E-01,-2.3671825000000E-01,-4.4274200000000E-02,-9.1818700000000E-03,-2.4712900000000E-01,5.1134300000000E-02,-1.7179000000000E-01,7.1830200000000E-01,3.0733100000000E-01,-3.4304800000000E-01,2.1292400000000E-01,4.6296629309650E-01,2.9810846317560E-03,8.0890405178070E-01
5.4726250000000E+00,4.2830925000000E-01,-2.3671825000000E-01,-2.0358100000000E-02,-3.3818200000000E-02,-2.3003500000000E-01,2.6841500000000E-02,-1.8666800000000E-01,7.2696500000000E-01,3.4564500000000E-01,-3.7575000000000E-01,2.0451500000000E-01,5.0291478633880E-01,4.8764828592540E-02,8.1590521335600E-01
5.4057350000000E+00,4.1104300000000E-01,-2.2717550000000E-01,-3.1992800000000E-02,-1.0599100000000E-02,-2.5081300000000E-01,9.3317100000000E-03,-1.7973400000000E-01,7.3059100000000E-01,2.9653000000000E-01,-3.4944200000000E-01,2.0902900000000E-01,4.7443518042560E-01,2.3893925827000E-03,8.1168717145920E-01
5.4726250000000E+00,4.1104300000000E-01,-2.2717550000000E-01,-9.9342200000000E-03,-3.4137000000000E-02,-2.3158600000000E-01,-1.1463200000000E-02,-1.9321400000000E-01,7.3274400000000E-01,3.3554300000000E-01,-3.8035700000000E-01,2.0105400000000E-01,5.0244206190110E-01,3.2367914915080E-02,8.2064640522000E-01
5.4057350000000E+00,3.9459900000000E-01,-2.1808700000000E-01,-2.1172800000000E-02,-1.2082500000000E-02,-2.5261200000000E-01,-1.9330700000000E-02,-1.8613900000000E-01,7.3773100000000E-01,2.8819400000000E-01,-3.5461000000000E-01,2.0492400000000E-01,4.7471964359280E-01,3.9574615657330E-02,8.1703644990920E-01
5.4726250000000E+00,3.9459900000000E-01,-2.1808700000000E-01,-5.0456000000000E-04,-3.4369900000000E-02,-2.3147000000000E-01,-3.7352900000000E-02,-1.9880600000000E-01,7.3357700000000E-01,3.2805100000000E-01,-3.8361000000000E-01,1.9751100000000E-01,5.0058335065840E-01,1.8768731504680E-02,8.2259523868560E-01
5.4057350000000E+00,3.7893775000000E-01,-2.0943125000000E-01,-1.1515200000000E-02,-1.3448200000000E-02,-2.5274700000000E-01,-3.8154100000000E-02,-1.9103900000000E-01,7.4004000000000E-01,2.8209500000000E-01,-3.5877800000000E-01,2.0081100000000E-01,4.7635254263880E-01,2.8208866715430E-02,8.1897628307340E-01
5.4726250000000E+00,3.7893775000000E-01,-2.0943125000000E-01,8.0879100000000E-03,-3.4423700000000E-02,-2.2986100000000E-01,-5.3828700000000E-02,-2.0334100000000E-01,7.2977400000000E-01,3.2280100000000E-01,-3.8579600000000E-01,1.9407400000000E-01,4.9781608581540E-01,6.2809409573670E-03,8.2081979513170E-01
5.4057350000000E+00,3.6402225000000E-01,-2.0118775000000E-01,-2.9638200000000E-03,-1.4602700000000E-02,-2.5144300000000E-01,-5.0040500000000E-02,-1.9629500000000E-01,7.3937300000000E-01,2.7834800000000E-01,-3.6134200000000E-01,1.9606000000000E-01,4.7615531086920E-01,1.7763271927830E-02,8.1890141963960E-01
5.4726250000000E+00,3.6402225000000E-01,-2.0118775000000E-01,1.5749700000000E-02,-3.4300000000000E-02,-2.2699100000000E-01,-6.3446500000000E-02,-2.0826500000000E-01,7.2315400000000E-01,3.1976000000000E-01,-3.8652500000000E-01,1.9011600000000E-01,4.9359342455860E-01,6.6434754990040E-03,8.1695437431340E-01
5.4726250000000E+00,5.3666175000000E-01,-3.8078175000000E-01,-1.6943100000000E-01,-2.4730900000000E-03,-1.6687400000000E-01,6.0435200000000E-01,-6.0236600000000E-02,5.5328800000000E-01,2.2778200000000E-01,-2.0102000000000E-01,2.2377100000000E-01,1.7142446339130E-01,6.9608598947530E-02,9.1634750366210E-01
